iter	Passed	Remaining
0	7	7178
1	12	6330
2	17	5718
3	20	5133
4	24	4864
5	28	4673
6	31	4408
7	35	4374
8	38	4215
9	42	4243
10	46	4193
11	50	4195
12	54	4170
13	57	4073
14	61	4059
15	64	3996
16	68	3967
17	72	3955
18	74	3861
19	78	3870
20	82	3863
21	85	3804
22	89	3812
23	91	3724
24	95	3714
25	98	3686
26	102	3688
27	105	3669
28	108	3632
29	110	3572
30	113	3540
31	116	3535
32	120	3530
33	123	3520
34	127	3518
35	130	3493
36	134	3491
37	136	3450
38	140	3456
39	143	3452
40	147	3451
41	151	3447
42	155	3450
43	158	3452
44	162	3452
45	166	3444
46	169	3436
47	172	3427
48	176	3423
49	178	3392
50	181	3373
51	184	3370
52	188	3369
53	191	3362
54	196	3369
55	199	3366
56	203	3361
57	206	3359
58	210	3355
59	214	3354
60	218	3368
61	223	3377
62	225	3353
63	227	3332
64	231	3324
65	234	3317
66	238	3314
67	241	3307
68	244	3303
69	248	3298
70	250	3282
71	254	3278
72	257	3268
73	260	3258
74	264	3256
75	266	3245
76	270	3241
77	274	3239
78	277	3234
79	280	3230
80	284	3227
81	287	3221
82	291	3218
83	295	3217
84	298	3215
85	302	3216
86	305	3202
87	308	3199
88	312	3197
89	315	3193
90	319	3187
91	322	3180
92	325	3175
93	328	3169
94	333	3173
95	336	3169
96	339	3162
97	342	3155
98	344	3137
99	347	3131
100	351	3125
101	354	3120
102	357	3113
103	360	3107
104	363	3101
105	367	3100
106	371	3098
107	374	3095
108	379	3099
109	382	3097
110	386	3092
111	388	3083
112	392	3081
113	395	3077
114	399	3071
115	401	3063
116	405	3059
117	408	3050
118	411	3047
119	414	3042
120	418	3037
121	421	3031
122	424	3026
123	428	3023
124	431	3021
125	434	3015
126	438	3011
127	441	3007
128	444	3003
129	448	2998
130	451	2993
131	454	2990
132	457	2983
133	461	2981
134	463	2972
135	467	2970
136	470	2966
137	474	2965
138	478	2965
139	482	2964
140	486	2962
141	490	2965
142	494	2963
143	498	2960
144	501	2956
145	504	2952
146	508	2950
147	512	2948
148	515	2944
149	519	2943
150	523	2941
151	526	2938
152	530	2938
153	535	2940
154	538	2936
155	542	2933
156	545	2929
157	548	2923
158	552	2920
159	555	2915
160	558	2912
161	562	2909
162	566	2908
163	570	2906
164	573	2901
165	575	2892
166	579	2890
167	583	2889
168	587	2887
169	591	2885
170	594	2881
171	598	2879
172	601	2875
173	604	2870
174	608	2867
175	610	2859
176	613	2852
177	617	2850
178	620	2847
179	624	2845
180	628	2843
181	633	2845
182	637	2845
183	640	2842
184	643	2836
185	647	2833
186	650	2829
187	654	2827
188	657	2822
189	661	2818
190	664	2814
191	667	2810
192	670	2805
193	674	2801
194	677	2796
195	681	2793
196	682	2783
197	686	2778
198	689	2773
199	692	2769
200	695	2764
201	698	2761
202	702	2756
203	705	2752
204	708	2747
205	711	2742
206	714	2738
207	718	2735
208	721	2731
209	724	2727
210	727	2719
211	730	2714
212	733	2708
213	734	2699
214	737	2693
215	740	2688
216	743	2684
217	747	2679
218	749	2674
219	752	2668
220	755	2663
221	758	2658
222	761	2653
223	764	2648
224	768	2646
225	771	2643
226	775	2639
227	777	2633
228	781	2629
229	784	2626
230	786	2617
231	789	2612
232	792	2608
233	795	2604
234	798	2600
235	802	2596
236	804	2591
237	808	2587
238	810	2581
239	814	2577
240	816	2572
241	820	2568
242	823	2565
243	826	2561
244	829	2557
245	832	2552
246	835	2547
247	838	2543
248	842	2539
249	845	2535
250	847	2528
251	850	2524
252	853	2520
253	856	2516
254	860	2512
255	862	2507
256	865	2503
257	868	2498
258	872	2495
259	875	2490
260	878	2486
261	881	2482
262	884	2478
263	887	2475
264	890	2470
265	894	2467
266	897	2462
267	900	2458
268	903	2454
269	906	2450
270	909	2446
271	912	2441
272	915	2437
273	918	2434
274	922	2432
275	926	2429
276	929	2425
277	931	2420
278	935	2416
279	938	2412
280	941	2409
281	944	2405
