iter	MultiClass
0	1.481515695
1	1.34752141
2	1.25855559
3	1.208671996
4	1.164687117
5	1.148616786
6	1.132650835
7	1.120327704
8	1.106397065
9	1.097371673
10	1.087581127
11	1.079092572
12	1.072735489
13	1.065560833
14	1.057642181
15	1.051500226
16	1.047943289
17	1.040137579
18	1.035911921
19	1.028254443
20	1.021098085
21	1.01350679
22	1.005122318
23	0.998801394
24	0.9840986215
25	0.9775019939
26	0.9716738616
27	0.9627929509
28	0.9594322923
29	0.9532427394
30	0.9479920014
31	0.942927737
32	0.9398089277
33	0.9349157748
34	0.9328262424
35	0.9295938251
36	0.9264880565
37	0.9175817739
38	0.9159170621
39	0.9133599967
40	0.9110182042
41	0.9091914057
42	0.9070070914
43	0.9039262551
44	0.9009135661
45	0.8985751215
46	0.8967166389
47	0.8958768253
48	0.8936773784
49	0.8911865022
50	0.8899794104
51	0.8886920528
52	0.8864631366
53	0.8838097436
54	0.879697948
55	0.8786726374
56	0.8773199478
57	0.8754089823
58	0.8744106364
59	0.8734019644
60	0.8716171126
61	0.8709582365
62	0.8687623804
63	0.867995784
64	0.8666621719
65	0.8650639025
66	0.8633142026
67	0.8605274752
68	0.8590345366
69	0.8583286077
70	0.8558095895
71	0.8550702417
72	0.8531660376
73	0.8518670815
74	0.8506282827
75	0.8498985131
76	0.8487570072
77	0.8476784639
78	0.8463749895
79	0.8455169382
80	0.8443960613
81	0.8432205893
82	0.8421271286
83	0.8406064071
84	0.8402353538
85	0.8396233904
86	0.8391423938
87	0.8380004795
88	0.8325671048
89	0.8319214558
90	0.8313676604
91	0.8306136163
92	0.8297245159
93	0.8281515594
94	0.8275686002
95	0.8267566695
96	0.8263976993
97	0.8242989343
98	0.8233218624
99	0.8229772318
