iter	Passed	Remaining
0	873	86515
1	1553	76118
2	2251	72799
3	2960	71050
4	3663	69612
5	4361	68335
6	5049	67079
7	5754	66171
8	6453	65249
9	7152	64374
10	7854	63547
11	8539	62619
12	9223	61726
13	9901	60824
14	10574	59923
15	11260	59117
16	11947	58330
17	12624	57511
18	13311	56746
19	13993	55972
20	14678	55219
21	15367	54483
22	16058	53760
23	16739	53009
24	17430	52292
25	18111	51548
26	18790	50803
27	19472	50072
28	20151	49335
29	20863	48680
30	21555	47979
31	22240	47260
32	22926	46547
33	23612	45835
34	24308	45144
35	24985	44419
36	25659	43689
37	26346	42986
38	27040	42293
39	27757	41635
40	28464	40960
41	29176	40291
42	29887	39618
43	30587	38929
44	31290	38244
45	31991	37554
46	32681	36853
47	33377	36158
48	34058	35448
49	34744	34744
50	35446	34056
51	36129	33349
52	36829	32659
53	37510	31953
54	38209	31262
55	38891	30557
56	39591	29867
57	40276	29165
58	40970	28470
59	41658	27772
60	42354	27079
61	43056	26389
62	43746	25692
63	44444	25000
64	45135	24303
65	45836	23612
66	46515	22910
67	47201	22212
68	47893	21517
69	48585	20822
70	49273	20125
71	49964	19430
72	50657	18736
73	51343	18039
74	52040	17346
75	52730	16651
76	53424	15958
77	54123	15265
78	54818	14571
79	55497	13874
80	56197	13182
81	56896	12489
82	57586	11794
83	58282	11101
84	58966	10405
85	59659	9711
86	60351	9017
87	61044	8324
88	61724	7628
89	62420	6935
90	63114	6242
91	63798	5547
92	64488	4853
93	65182	4160
94	65874	3467
95	66567	2773
96	67261	2080
97	67960	1386
98	68658	693
99	69345	0
